name_raw,n_lines,sample,norm_key,name_key,codes,ifct_names,n_candidates,bucket
Poppy seeds,1,1 teaspoon Poppy seeds,poppy seed,poppy seed,G032,Poppy seeds,1,unique
Prawns - tiger,1,500 grams Prawns - tiger,prawn tiger,,,,0,no_hit
Caramel Sauce,1,1/4 cup Caramel Sauce,caramel sauce,,,,0,no_hit
Mixed Dry Fruits - Apricot,1,1-1/2 cups Mixed dry fruits - I used apricot,mixed dry fruit apricot,,,,0,no_hit
Guava,1,1/4 cup Guava - cubes (optional),guava,,,,0,no_hit
Guava juice,1,1 cup Guava juice - chilled,guava juice,,,,0,no_hit
Homemade tomato puree,1,1/2 cup Homemade tomato puree,homemade tomato puree,,,,0,no_hit
Horse Gram Dal (Kollu/ Kulith),1,250 grams Horse Gram Dal (Kollu/ Kulith) - Sprouted,horse gram dal kollu/ kulith,,,,0,no_hit
Hot water,1,1/2 cup Hot water,hot water,,,,0,no_hit
Icing Sugar,1,1 cup Icing Sugar - powdered,icing sugar,,,,0,no_hit
Instant Coffee Powder,1,1 tablespoon Instant Coffee Powder,instant coffee powder,,,,0,no_hit
Jackfruit Seeds (Kathal),1,1 cup Jackfruit Seeds (Kathal) - cleaned and sliced,jackfruit seed kathal,,,,0,no_hit
Ragi Flour (Finger Millet/ Nagli),1,1/2 cup Ragi Flour (Finger Millet/ Nagli),ragi flour finger millet/ nagli,,,,0,no_hit
Tamarind water,1,1-1/2 cup Tamarind Water,tamarind water,,,,0,no_hit
Tulsi (holy basil),1,20 Tulsi (holy basil),tulsi holy basil,,,,0,no_hit
Red Chilli flakes,1,1 teaspoon Red Chilli flakes - adjust as per spice tolerance,red chilli flake,,,,0,no_hit
Red black Eyed Beans (Azuki),1,1.5 cups Red Black Eyed Beans (Azuki),red black eyed bean azuki,,,,0,no_hit
Rice ada,1,1 cup Rice ada,rice ada,,,,0,no_hit
Rice puttu,1,1 cup Rice puttu - or wheat puttu,rice puttu,,,,0,no_hit
Vivatta Maida,1,1 cup Vivatta Maida,vivatta maida,,,,0,no_hit
Whole Egg,1,1 Whole Egg,whole egg,,,,0,no_hit
Yam,1,250 grams Yam - peel and chop,yam,,,,0,no_hit
active dry yeast,1,1 tsp active dry yeast - + 1/2 cup lukewarm water,active dry yeast,,,,0,no_hit
arabic,1,250 gm arabic - wash now,arabic,,,,0,no_hit
black gram,1,1/2 cup black gram,black gram,,,,0,no_hit
Shrimps,1,500 grams Shrimps - cleaned and deveined,shrimp,,,,0,no_hit
Squid,1,250 grams Squid - (Cleaned and cut into rings),squid,,,,0,no_hit
Egg whites,1,4 Egg whites,egg white,,,,0,no_hit
Kala Chana (Brown Chickpeas),1,1 cup Kala Chana (Brown Chickpeas) - soaked overnight and cooked,kala chana brown chickpea,,,,0,no_hit
Karela (Bitter Gourd/ Pavakkai),1,3 Karela (Bitter Gourd/ Pavakkai),karela bitter gourd/ pavakkai,,,,0,no_hit
Kashmiri Red Chili Powder,1,1-1/2 teaspoons Kashmiri Red Chilli Powder,kashmiri red chili powder,,,,0,no_hit
Garlic Paste ,1,1/2 tablespoon Garlic - paste,garlic paste,,,,0,no_hit
Glazed Cherries,1,100 grams Glazed Cherries,glazed cherry,,,,0,no_hit
Gram flour (besan),1,1/4 cup Gram flour (besan),gram flour besan,,,,0,no_hit
Green Chawli Beans (Yard long beans/Karamani/Barbati),1,300 grams Green Chawli Beans (Yard long beans/Karamani/Barbati) - chopped,green chawli bean yard long bean karamani barbati,,,,0,no_hit
Cooking soda,1,1/2 teaspoon Cooking soda,cooking soda,,,,0,no_hit
Cabbage (Patta Gobi/ Muttaikose),1,1/2 Cabbage (Patta Gobi/ Muttaikose) - finely chopped,cabbage patta gobi/ muttaikose,,,,0,no_hit
Candied orange peel,1,3 tablespoons Candied orange peel,candied orange peel,,,,0,no_hit
Caster Sugar,1,300 grams Caster Sugar,caster sugar,,,,0,no_hit
Cauliflower (gobi),1,1 cup Cauliflower (gobi) - florets,cauliflower gobi,,,,0,no_hit
Champagne,1,500 ml Champagne - or Sparkling wine,champagne,,,,0,no_hit
Sweet Potatoes,1,2 Sweet Potatoes - medium size,sweet potato,,,,0,no_hit
cardamom powder,1,1/2 tsp cardamom powder - more or less,cardamom powder,,,,0,no_hit
cast Curry leaves,1,1 cast Curry leaves,cast curry leaves,,,,0,no_hit
coconut milk,1,1/2 cup coconut milk - thick,coconut milk,,,,0,no_hit
coriander,1,3 sprig coriander - Finely chop,coriander,,,,0,no_hit
coriander Powder,1,2 teaspoon coriander Powder,coriander powder,,,,0,no_hit
coriander leaves,1,coriander leaves - finely chopped,coriander leaves,coriander leaves,G009,Coriander leaves,1,unique
cumin powder,1,1 teaspoon cumin powder,cumin powder,,,,0,no_hit
curd,1,1/4 cup curd,curd,,,,0,no_hit
Vanilla Extract,1,1 teaspoon Vanilla Extract,vanilla extract,,,,0,no_hit
Coconut milk ,1,1 3/4 cup Coconut milk,coconut milk,,,,0,no_hit
Egg yolks,1,4 Egg yolks,egg yolk,,,,0,no_hit
Enos fruit salt,1,1/4 teaspoon Enos fruit salt - optional,enos fruit salt,,,,0,no_hit
Extra Virgin Olive Oil,1,1 tablespoon Extra Virgin Olive Oil - to toss,extra virgin olive oil,,,,0,no_hit
Fish fillet,1,5 Fish fillet,fish fillet,,,,0,no_hit
Galic,1,8 Garlic - cloves,galic,,,,0,no_hit
Coriander Powder (dhania),1,2-1/2 teaspoons Coriander Powder (Dhania),coriander powder dhania,,,,0,no_hit
Crabs,1,4 Crabs,crab,crab,Q001|S007,Crab; Crab,2,multiple
Cucumber,1,1 Cucumber - peeled and diced,cucumber,,,,0,no_hit
potato,1,250 g potato - cut straight and thick,potato,,,,0,no_hit
potatoes,1,2 potatoes - peel and chop straight,potato,,,,0,no_hit
raw banana peel,1,2 raw banana peel,raw banana peel,,,,0,no_hit
raw bananas,1,3 raw bananas - peeled and cut into thin,raw banana,,,,0,no_hit
red chilli flax,1,1 teaspoon red chilli flax,red chilli flax,,,,0,no_hit
brinjals,1,2 brinjals - finely chopped,brinjal,brinjal,D010|D011|D012|D013|D014|D015|D016|D017|D018|D019|D020|D021|D022|D023|D024|D025|D026|D027|D028|D029|D030|D031,Brinjal 1; Brinjal 2; Brinjal 3; Brinjal 4; Brinjal 5; Brinjal 6; Brinjal 7; Brinjal 8; Brinjal 9; Brinjal 10; Brinjal 11; Brinjal 12; Brinjal 13; Brinjal 14; Brinjal 15; Brinjal 16; Brinjal 17; Brinjal 18; Brinjal 19; Brinjal 20; Brinjal 21; Brinjal - all varieties,22,multiple
Curry leaf,1,1 sprig curry leaf,curry leaf,,,,0,no_hit
Dried Figs,1,100 grams Dried Figs,dried fig,,,,0,no_hit
Dry Red Chili,1,2 to 3 Dry Red Chilli,dry red chili,,,,0,no_hit
Chicken masala,1,2 teaspoon Chicken masala - (you can use other too but I prefer eastern masalas for kerala style preparations),chicken masala,,,,0,no_hit
Chinese Potato,1,250 grams Chinese Potato - cut into medium size pieces,chinese potato,,,,0,no_hit
drumsticks,1,2 drumsticks - cut straight,drumstick,drumstick,D046,Drumstick,1,unique
dry red chili,1,1 dry red chili - Break it,dry red chili,,,,0,no_hit
eggs,1,2 eggs - boiled and cut into pieces,egg,,,,0,no_hit
fennel powder,1,1/2 teaspoon fennel powder,fennel powder,,,,0,no_hit
fenugreek seeds,1,1/2 teaspoon fenugreek seeds - grind,fenugreek seed,fenugreek seed,G026,Fenugreek seeds,1,unique
garam masala powder,1,1/2 teaspoon garam masala powder,garam masala powder,,,,0,no_hit
ginger,1,1 ginger - finely chopped,ginger,,,,0,no_hit
ginger garlic paste,1,1 tablespoon ginger garlic paste,ginger garlic paste,,,,0,no_hit
ginger powder,1,1 tbsp ginger powder,ginger powder,,,,0,no_hit
peel,1,peel,peel,,,,0,no_hit
Colocasia root (Arbi),1,250 grams Colocasia root (Arbi) - washed thoroughly and peeled,colocasia root arbi,,,,0,no_hit
Butter,1,1 teaspoon Butter,butter,,,,0,no_hit
Button mushrooms,1,20 Button mushrooms - finely chopped,button mushroom,,,,0,no_hit
small potatoes,1,250 grams small potatoes - half cut,small potato,,,,0,no_hit
sugar,1,2 tbsp sugar,sugar,,,,0,no_hit
tighten it,1,tighten it,tighten it,,,,0,no_hit
tulsi,1,20 tulsi,tulsi,,,,0,no_hit
turmeric,1,1/2 teaspoon turmeric,turmeric,,,,0,no_hit
turmeric Powder,1,1/2 teaspoon turmeric Powder,turmeric powder,turmeric powder,G033,Turmeric powder,1,unique
pepper powder,1,1/4 tablespoon pepper powder,pepper powder,,,,0,no_hit
2 tsp cumin seeds,1,1/2 2 tsp cumin seeds,tsp cumin seed,,,,0,no_hit
Banana Stem,1,300 grams Banana Stem - peeled and cut into dices,banana stem,,,,0,no_hit
Banana flower (Vazhaipoo),1,2 Banana flower (Vazhaipoo) - ripe,banana flower vazhaipoo,,,,0,no_hit
Bay leaves (tej patta),1,2 Bay leaves (tej patta),bay leaf tej patta,,,,0,no_hit
Black Eyed Beans (Lobia),1,1/2 cup Black Eyed Beans (Lobia),black eyed bean lobia,,,,0,no_hit
whole pepper,1,1 teaspoon whole pepper - ground,whole pepper,,,,0,no_hit
Brown Rice,1,1 cup Brown Rice,brown rice,,,,0,no_hit
white urad dal (split),1,1 teaspoon white urad dal (split),white urad dal split,,,,0,no_hit
whole black pepper,1,1/4 tsp whole black pepper,whole black pepper,,,,0,no_hit
Aachi Fish Masala,1,2 teaspoons Aachi Fish Masala,aachi fish masala,,,,0,no_hit
