norm_key,n_lines,generic_name,link_rule,link_confidence,n_candidates,candidate_codes,candidate_names,ifct_code,food_group,status,notes,chosen_ifct_code,rank_found,hierarchical,reviewer_notes
green bean,2,green beans,partial,0.5,51,B007;B008;B009;B010;B011;B016;B024;B025;C002;C004;C005;C006;C015;C018;C022;D003;D007;D008;D009;D032;D033;D039;D041;D043;D044;D047;D048;D049;D050;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Field bean, black;Field bean, brown;Field bean, white;Green gram, dal;Green gram, whole;Moth bean;Soya bean, brown;Soya bean, white;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bean scarlet, tender;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Broad beans;Capsicum, green;Cluster beans;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Field beans, tender, broad;Field beans, tender, lean;French beans, country;French beans, hybrid;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,,needs_partial,51 ranked candidates,D050,29,N,Often written as green beans (french beans) 
green chili,2,green chili,partial,0.5,38,B010;B011;C002;C004;C005;C006;C015;C018;C022;D007;D008;D009;D033;D041;D043;D044;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Green gram, dal;Green gram, whole;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Capsicum, green;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,,needs_partial,38 ranked candidates,G008,49,N,all varities  
okra,2,okra,none,,0,,,,,miss,no candidate at any rung,D056,1,N,ladies finger = okra
potato,2,potato,subset,0.8,5,F006;F007;F008;F013;F014,"Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,,needs_pick,"5 varieties, no IFCT aggregate row",F006,1,N,default to large brown potato
red chili,2,red chili,partial,0.5,21,B020;B021;B022;C003;C004;C006;C023;D034;D067;E011;E014;E024;F003;F008;F009;F011;G022;H003;P065;P066;R006,"Rajmah, red;Red gram, dal;Red gram, whole;Amaranth leaves, red;Amaranth leaves, red and green;Amaranth, spinous, leaves, red and green;Gogu leaves, red stem;Capsicum, red;Red gram, tender, fresh;Banana, ripe, red;Cherries, red;Grapes, seeded, round, red;Carrot, red;Potato, red skin;Radish, elongate, red skin;Radish, round, red skin;Chillies, red;Arecanut, dried, red color;Red snapper;Red snapper, small;Squid, red",,,needs_partial,21 ranked candidates,G022,17,N,
rye,2,rye,none,,0,,,,,absent,no candidate at any rung,,,,USDA equivalent?
suran,2,suran,none,,0,,,,,miss,no candidate at any rung,F017,1,N,suran = yam
tsp cumin seed,1,2 tsp cumin seeds,subset,0.8,1,G025,Cumin seeds,,,residue,unit token in name_raw; fix in parsing,G025,1,N,
aachi fish masala,1,Aachi Fish Masala,partial,0.5,13,P004;P009;P016;P030;P037;P038;P051;P060;P061;P077;P079;S001;S004,Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Silk fish;Sole fish;Cat fish;Gold fish,,,absent,13 ranked candidates,,,,USDA/other
ada,1,Ada,none,,0,,,,,no_candidate,no candidate at any rung,,,,"Poha is similar but nutritionally different, requires fallbak"
asafoetida hing pinch,1,Asafoetida (hing) - a pinch,subset,0.8,1,G019,Asafoetida,,,residue,unit token in name_raw; fix in parsing,G019,1,N,
asafoetida hing powder,1,Asafoetida (hing) - powder,subset,0.8,1,G019,Asafoetida,G019,Condiments and Spices,auto,,G019,1,N,
ash gourd,1,Ash gourd,exact,1,1,D001,Ash gourd,D001,Other Vegetables,auto,,D001,1,N,
baby potato,1,Baby Potatoes,partial,0.5,7,D042;E065;F006;F007;F008;F013;F014,"Corn, baby;Water melon, dark green (sugar baby);Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,,needs_partial,7 ranked candidates,F006,1,N,baby = small potato
bajra flour pearl millet,1,Bajra Flour (Pearl Millet),subset,0.8,1,A003,Bajra,A003,Cereals and Millets,auto,,A003,1,N,
banana stem,1,Banana Stem,partial,0.5,9,C022;C023;D040;D041;D064;E009;E010;E011;E012,"Gogu leaves, green stem;Gogu leaves, red stem;Colocasia, stem, black;Colocasia, stem, green;Plantain, stem;Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta",,,miss,9 ranked candidates,,,,"No ""stem"" nutrition stats "
banana flower vazhaipoo,1,Banana flower (Vazhaipoo),partial,0.5,1,D062,"Plantain, flower",,,needs_partial,1 ranked candidates,D062,1,N,
black eyed bean lobia,1,Black Eyed Beans (Lobia),partial,0.667,12,B007;B016;B018;D032;D039;E013;E015;G021;G031;P006;P055;R004,"Field bean, black;Moth bean;Rajmah, black;Broad beans;Cluster beans;Black berry;Currants, black;Cardamom, black;Pepper, black;Black snapper;Pomfret, black;Squid, black",,,miss,12 ranked candidates,B006,1,N,black eyed bean = cow
brown rice,1,Brown Rice,subset,0.8,1,A013,"Rice, raw, brown",A013,Cereals and Millets,auto,,A013,1,N,
butter,1,Butter,none,,0,,,,,no_candidate,no candidate at any rung,,,,USDA
button mushroom,1,Button mushrooms,subset,0.8,1,J001,"Button mushroom, fresh",J001,Mushrooms,auto,,J001,1,N,
cabbage patta gobi/ muttaikose,1,Cabbage (Patta Gobi/ Muttaikose),partial,0.5,3,C013;C015;C016,"Cabbage, Chinese;Cabbage, green;Cabbage, violet",,,needs_partial,3 ranked candidates,C015,2,N,default to green vs violet 
candied orange peel,1,Candied orange peel,partial,0.5,2,E047;F002,"Orange, pulp;Carrot, orange",,,needs_partial,2 ranked candidates,,,,
caramel sauce,1,Caramel Sauce,none,,0,,,,,absent,no candidate at any rung,,,,USDA
caster sugar,1,Caster Sugar,partial,0.5,1,E065,"Water melon, dark green (sugar baby)",,,absent,1 ranked candidates,,,,USDA
cauliflower gobi,1,Cauliflower (gobi),subset,0.8,1,D036,Cauliflower,D036,Other Vegetables,auto,,D036,1,N,
champagne,1,Champagne,none,,0,,,,,no_candidate,no candidate at any rung,,,,USDA
chicken masala,1,Chicken masala,partial,0.5,7,J002;N001;N002;N003;N004;N005;N006,"Chicken mushroom, fresh;Chicken, poultry, leg, skinless;Chicken, poultry, thigh, skinless;Chicken, poultry, breast, skinless;Chicken, poultry, wing, skinless;Poultry, chicken, liver;Poultry, chicken, gizzard",,,miss,7 ranked candidates,,,,USDA
chinese potato,1,Chinese Potato,partial,0.5,6,C013;F006;F007;F008;F013;F014,"Cabbage, Chinese;Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,,absent,6 ranked candidates,,,,USDA
colocasia root arbi,1,Colocasia root (Arbi),subset,0.8,1,F004,Colocasia,F004,Roots and Tubers,auto,,F004,1,N,
cooking soda,1,Cooking soda,none,,0,,,,,no_candidate,no candidate at any rung,,,,baking soda? 
crab,1,Crabs,exact,1,2,Q001;S007,Crab;Crab,,,needs_name_fix,candidates span 2 food groups,Q005,1,N,mud crab is most common in kerala cuisine
cucumber,1,Cucumber,subset,0.8,3,D043;D044;D045,"Cucumber, green, elongate;Cucumber, green, short;Cucumber, orange, round",,,needs_pick,"3 varieties, no IFCT aggregate row",C002,1,N,default to long cucumber
curry leaf,1,Curry leaf,partial,0.5,15,C002;C003;C004;C005;C006;C010;C011;C019;C020;C022;C023;C030;C031;C034;G010,"Amaranth leaves, green;Amaranth leaves, red;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Betel leaves, big (kolkata);Betel leaves, small;Drumstick leaves;Fenugreek leaves;Gogu leaves, green stem;Gogu leaves, red stem;Pumpkin leaves, tender;Radish leaves;Tamarind leaves, tender;Curry leaves",,,miss,15 ranked candidates,G010,1,N,missed parser
dried fig,1,Dried Figs,subset,0.8,1,E020,Fig,E020,Fruits,miss,,,,,dried fig != figs
egg white,1,Egg whites,subset,0.8,2,M002;M005,"Egg, poultry, white, raw;Egg, poultry, white, boiled",,,needs_pick,"2 varieties, no IFCT aggregate row",M002,1,N,
egg yolk,1,Egg yolks,subset,0.8,2,M003;M006,"Egg, poultry, yolk, raw;Egg, poultry, yolk, boiled",,,needs_pick,"2 varieties, no IFCT aggregate row",M003,1,N,
enos fruit salt,1,Enos fruit salt,partial,0.5,4,E007;E008;E032;E062,Avocado fruit;Bael fruit;Karonda fruit;Star fruit,,,absent,4 ranked candidates,,,,USDA
extra virgin olive oil,1,Extra Virgin Olive Oil,partial,0.5,9,T001;T002;T004;T005;T006;T007;T009;T011;T012,Coconut oil;Corn oil;Gingelly oil;Groundnut oil;Mustard oil;Palm oil;Safflower oil;Soyabean oil;Sunflower oil,,,absent,9 ranked candidates,,,,USDA
fish fillet,1,Fish fillet,partial,0.5,15,P004;P009;P016;P030;P037;P038;P051;P060;P061;P064;P077;P079;P092;S001;S004,"Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Ray fish, bow head, spotted;Silk fish;Sole fish;Eggs, cat fish;Cat fish;Gold fish",,,absent,15 ranked candidates,,,,"Requires ""general dish"" variant"
garlic paste,1,Garlic Paste ,partial,0.5,3,G011;G012;G013,"Garlic, big cloves;Garlic, small cloves;Garlic, single clove, Kashmir",,,needs_partial,3 ranked candidates,G013,3,N,"garlic paste != garlic clove, check USDA"
glazed cherry,1,Glazed Cherries,partial,0.5,1,E014,"Cherries, red",,,absent,1 ranked candidates,,,,glazed cherries have very different nutrition compared to regular cherries
gram flour besan,1,Gram flour (besan),none,,0,,,,,miss,no candidate at any rung,B001,1,Y,besan is a close match to bengal gram flour
green chawli bean yard long bean karamani barbati,1,Green Chawli Beans (Yard long beans/Karamani/Barbati),partial,0.5,18,B016;C015;D032;D033;D039;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"Moth bean;Cabbage, green;Broad beans;Capsicum, green;Cluster beans;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,,absent,18 ranked candidates,,,,only dried form exists in IFCT
guava,1,Guava,subset,0.8,2,E028;E029,"Guava, white flesh;Guava, pink flesh",,,needs_pick,"2 varieties, no IFCT aggregate row",E028,1,N,default to white flesh
guava juice,1,Guava juice,partial,0.5,4,E028;E029;E033;I002,"Guava, white flesh;Guava, pink flesh;Lemon, juice;Sugarcane, juice",,,absent,4 ranked candidates,,,,USDA
homemade tomato puree,1,Homemade tomato puree,partial,0.5,1,D074,"Tomato, green",,,absent,1 ranked candidates,,,,puree offers different nutrition value
horse gram dal kollu/ kulith,1,Horse Gram Dal (Kollu/ Kulith),partial,0.667,5,B001;B003;B010;B012;B021,"Bengal gram, dal;Black gram, dal;Green gram, dal;Horse gram, whole;Red gram, dal",,,needs_partial,5 ranked candidates,B012,4,N,
hot water,1,Hot water,partial,0.5,5,E065;E066;F016;K002;S003,"Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,absent,5 ranked candidates,,,,USDA
icing sugar,1,Icing Sugar,partial,0.5,1,E065,"Water melon, dark green (sugar baby)",,,absent,1 ranked candidates,,,,USDA
jackfruit seed kathal,1,Jackfruit Seeds (Kathal),partial,0.5,8,G024;G025;G026;G032;H013;H017;H019;H020,Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds,,,needs_partial,8 ranked candidates,D052,1,N,parse error
kala chana brown chickpea,1,Kala Chana (Brown Chickpeas),partial,0.5,3,B005;B019;Q003,"Cowpea, brown;Rajmah, brown;Lobster, brown",,,miss,3 ranked candidates,B002,1,N,"Chana, kala = bengal gram, wholee"
karela bitter gourd/ pavakkai,1,Karela (Bitter Gourd/ Pavakkai),none,,0,,,,,miss,no candidate at any rung,D005,1,N,default to long bitter gourd
kashmiri red chili powder,1,Kashmiri Red Chili Powder,partial,0.5,8,B020;D034;E014;F003;G022;G033;P065;R006,"Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Turmeric powder;Red snapper;Squid, red",,,needs_partial,8 ranked candidates,G022,5,N,kashmiri differs slightly from regular chili powder
mango,1,Mango,subset,0.8,9,D057;E036;E037;E038;E039;E040;E041;E042;G015,"Mango, green, raw;Mango, ripe, banganapalli;Mango, ripe, gulabkhas;Mango, ripe, himsagar;Mango, ripe, kesar;Mango, ripe, neelam;Mango, ripe, paheri;Mango, ripe, totapari;Mango ginger",,,needs_name_fix,candidates span 3 food groups,E036,2,N,"default to ripe mango, banganapalli"
mixed dry fruit apricot,1,Mixed Dry Fruits - Apricot,partial,0.5,8,A006;B017;E005;E006;E007;E008;E032;E062,"Maize, dry;Peas, dry;Apricot, dried;Apricot, processed;Avocado fruit;Bael fruit;Karonda fruit;Star fruit",,,miss,8 ranked candidates,E005,1,N,dry apricot variant
mixed vegetable french bean,1,Mixed Vegetables - french beans,partial,0.667,5,D049;D050;B016;D032;D039,"French beans, country;French beans, hybrid;Moth bean;Broad beans;Cluster beans",,,needs_partial,5 ranked candidates,D050,2,N,
mixed vegetable potato,1,Mixed Vegetables - potatoes,none,,0,,,,,miss,no candidate at any rung,F006,1,N,missed parser
mixed nut almond,1,Mixed nuts - Almond,subset,0.8,1,H001,Almond,H001,Nuts and Oil Seeds,auto,,H001,1,N,
mooli mullangi radish,1,Mooli/Mullangi (Radish),partial,0.5,1,C031,Radish leaves,,,miss,1 ranked candidates,F009,1,N,Default to long red radish
mustard oil,1,Mustard oil,exact,1,1,T006,Mustard oil,T006,Edible Oils and Fats,auto,,T006,1,N,
orange,1,Orange,subset,0.8,6,D045;D066;E045;E047;F002;Q008,"Cucumber, orange, round;Pumpkin, orange, round;Musk melon, orange flesh;Orange, pulp;Carrot, orange;Tiger Prawns, orange",,,miss,candidates span 4 food groups,,,,USDA
palm sugar,1,Palm sugar,partial,0.5,3,E048;E065;T007,"Palm fruit, tender;Water melon, dark green (sugar baby);Palm oil",,,miss,3 ranked candidates,,,,USDA
papad,1,Papad,none,,0,,,,,no_candidate,no candidate at any rung,,,,"pappadam, find somewhere else"
papaya,1,Papaya,subset,0.8,2,D059;E049,"Papaya, raw;Papaya, ripe",,,needs_name_fix,candidates span 2 food groups,E049,2,N,
papaya juice,1,Papaya juice,partial,0.5,4,D059;E033;E049;I002,"Papaya, raw;Lemon, juice;Papaya, ripe;Sugarcane, juice",,,absent,4 ranked candidates,,,,USDA
poppy seed,1,Poppy seeds,exact,1,1,G032,Poppy seeds,G032,Condiments and Spices,auto,,G032,1,N,
prawn tiger,1,Prawns - tiger,tokenset,0.9,1,S010,Tiger prawns,S010,Fresh Water Fish and Shellfish,auto,,S010,1,N,
ragi flour finger millet/ nagli,1,Ragi Flour (Finger Millet/ Nagli),subset,0.8,1,A010,Ragi,A010,Cereals and Millets,auto,,A010,1,N,
rasam powder,1,Rasam Powder,partial,0.5,1,G033,Turmeric powder,,,absent,1 ranked candidates,,,,USDA
raw peanut moongphali,1,Raw Peanuts (Moongphali),partial,0.5,1,D059,"Papaya, raw",,,miss,1 ranked candidates,H012,1,N,"Moog Phali is found in ""lang"" of ground nut "
red chilli flake,1,Red Chilli flakes,subset,0.8,1,G022,"Chillies, red",G022,Condiments and Spices,auto,,G022,1,N,"""flake"" may be different from regular red chili"
red black eyed bean azuki,1,Red black Eyed Beans (Azuki),partial,0.667,19,B007;B016;B018;B020;D032;D034;D039;E013;E014;E015;F003;G021;G022;G031;P006;P055;P065;R004;R006,"Field bean, black;Moth bean;Rajmah, black;Rajmah, red;Broad beans;Capsicum, red;Cluster beans;Black berry;Cherries, red;Currants, black;Carrot, red;Cardamom, black;Chillies, red;Pepper, black;Black snapper;Pomfret, black;Red snapper;Squid, black;Squid, red",,,absent,,,,,azuki not found in ifct
rice ada,1,Rice ada,partial,0.5,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,absent,6 ranked candidates,,,,rice ada has no IFCT equiv
rice puttu,1,Rice puttu,partial,0.5,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,absent,6 ranked candidates,,,,puttu has no IFCT equiv
saffron strand,1,Saffron strands,none,,0,,,,,absent,no candidate at any rung,,,,USDA
sambar powder,1,Sambar Powder,partial,0.5,1,G033,Turmeric powder,,,absent,1 ranked candidates,,,,USDA
sardine fish mati,1,Sardine Fish - mati,subset,0.8,1,P071,Sardine,P071,Marine Fish,auto,,P071,1,N,
sardine fish,2,Sardine fish,subset,0.8,1,P071,Sardine,P071,Marine Fish,auto,,P071,1,N,
shrimp,1,Shrimps,none,,0,,,,,miss,,Q008,1,N,giant tiger prawn likely found in Kerala 
squid,1,Squid,subset,0.8,4,R004;R005;R006;R007,"Squid, black;Squid, hard shell;Squid, red;Squid, white, small",,,needs_pick,"4 varieties, no IFCT aggregate row",R004,1,N,default to black squid
sweet potato,1,Sweet Potatoes,subset,0.8,2,F013;F014,"Sweet potato, brown skin;Sweet potato, pink skin",,,needs_pick,"2 varieties, no IFCT aggregate row",F013,1,N,default to brown potato
tulsi holy basil,1,Tulsi (holy basil),none,,0,,,,,absent,no candidate at any rung,,,,USDA
vanilla extract,1,Vanilla Extract,none,,0,,,,,absent,no candidate at any rung,,,,USDA
vivatta maida,1,Vivatta Maida,none,,0,,,,,miss,no candidate at any rung,A018,1,N,Maida = wheat flour 
yam,1,Yam,subset,0.8,3,F017;F018;F019,"Yam, elephant;Yam, ordinary;Yam, wild",,,needs_pick,"3 varieties, no IFCT aggregate row",B003,1,N,default to elephant yam
arabic,1,arabic,none,,0,,,,,miss,no candidate at any rung,D041,1,N,Arabic is misparsed version of Arbi (Taro Root/Colocasia)
black gram,1,black gram,subset,0.8,2,B003;B004,"Black gram, dal;Black gram, whole",,,needs_pick,"2 varieties, no IFCT aggregate row",B004,2,N,default to whole
brinjal,1,brinjals,exact,1,22,D010;D011;D012;D013;D014;D015;D016;D017;D018;D019;D020;D021;D022;D023;D024;D025;D026;D027;D028;D029;D030;D031,Brinjal 1;Brinjal 2;Brinjal 3;Brinjal 4;Brinjal 5;Brinjal 6;Brinjal 7;Brinjal 8;Brinjal 9;Brinjal 10;Brinjal 11;Brinjal 12;Brinjal 13;Brinjal 14;Brinjal 15;Brinjal 16;Brinjal 17;Brinjal 18;Brinjal 19;Brinjal 20;Brinjal 21;Brinjal - all varieties,D031,Other Vegetables,auto,IFCT 'all varieties' aggregate,D031,21,N,
cardamom powder,1,cardamom powder,partial,0.5,3,G020;G021;G033,"Cardamom, green;Cardamom, black;Turmeric powder",,,needs_partial,3 ranked candidates,G020,1,N,
cast curry leaves,1,cast Curry leaves,subset,0.8,1,G010,Curry leaves,G010,Condiments and Spices,auto,,G010,1,N,
coriander,1,coriander,subset,0.8,2,G009;G024,Coriander leaves;Coriander seeds,,,needs_pick,"2 varieties, no IFCT aggregate row",G024,2,N,default to seed
coriander leaves,1,coriander leaves,exact,1,1,G009,Coriander leaves,G009,Condiments and Spices,auto,,G009,1,N,
cumin powder,1,cumin powder,partial,0.5,2,G025;G033,Cumin seeds;Turmeric powder,,,needs_partial,2 ranked candidates,G025,1,N,
curd,1,curd,none,,0,,,,,absent,no candidate at any rung,,,,USDA
egg,1,eggs,subset,0.8,16,M001;M002;M003;M004;M005;M006;M007;M008;M009;M010;M011;M012;M013;M014;M015;P092,"Egg, poultry, whole, raw;Egg, poultry, white, raw;Egg, poultry, yolk, raw;Egg, poultry, whole, boiled;Egg, poultry, white, boiled;Egg, poultry, yolk, boiled;Egg, poultry, omlet;Egg, country hen, whole, raw;Egg, country hen, whole, boiled;Egg, country hen, omlet;Egg, duck, whole, boiled;Egg, duck, whole, raw;Egg, duck, whole, omlet;Egg, quial, whole, raw;Egg, quial, whole, boiled;Eggs, cat fish",,,needs_name_fix,candidates span 2 food groups,M001,1,N,
fenugreek seed,1,fenugreek seeds,exact,1,1,G026,Fenugreek seeds,G026,Condiments and Spices,auto,,G026,1,N,
ginger powder,1,ginger powder,partial,0.5,3,G014;G015;G033,"Ginger, fresh;Mango ginger;Turmeric powder",,,miss,3 ranked candidates,,,,"USDA, fresh ginger != ginger powder (Dry) "
green coriander,1,green coriander,partial,0.5,40,B010;B011;C002;C004;C005;C006;C015;C018;C022;D007;D008;D009;D033;D041;D043;D044;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G009;G020;G024;R001,"Green gram, dal;Green gram, whole;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Capsicum, green;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Coriander leaves;Cardamom, green;Coriander seeds;Clam, green shell",,,needs_partial,40 ranked candidates,G009,miss,N,
green pea,1,green peas,partial,0.5,40,B010;B011;B017;C002;C004;C005;C006;C015;C018;C022;D007;D008;D009;D033;D041;D043;D044;D057;D061;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Green gram, dal;Green gram, whole;Peas, dry;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Capsicum, green;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Mango, green, raw;Peas, fresh;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,,needs_partial,40 ranked candidates,B017,3,N,dry form default 
hot masala powder,1,hot Masala powder,partial,0.5,1,G033,Turmeric powder,,,miss,1 ranked candidates,,,,USDA
luke warm water,1,luke warm water,partial,0.5,2,F016;K002,Water Chestnut;Coconut water,,,miss,2 ranked candidates,,,,USDA
nugget curry leaves,1,nuggets curry leaves,subset,0.8,1,G010,Curry leaves,G010,Condiments and Spices,miss,,G010,1,N,
olive oil,1,olive oil,partial,0.5,12,T001;T002;T003;T004;T005;T006;T007;T008;T009;T010;T011;T012,Coconut oil;Corn oil;Cotton seed oil;Gingelly oil;Groundnut oil;Mustard oil;Palm oil;Rice bran oil;Safflower oil;Safflower oil (blended);Soyabean oil;Sunflower oil,,,miss,12 ranked candidates,,,,USDA
peel,1,peel,none,,0,,,,,no_candidate,no candidate at any rung,,,,Parse Error
pepper powder,1,pepper powder,partial,0.5,2,G031;G033,"Pepper, black;Turmeric powder",,,needs_partial,2 ranked candidates,G031,1,N,
red chilli flax,1,red chilli flax,subset,0.8,1,G022,"Chillies, red",G022,Condiments and Spices,auto,,G022,1,N,
small onion sambar,1,small onion sambar,subset,0.8,1,G018,"Onion, small",G018,Condiments and Spices,auto,,G018,1,N,
small onion sambar one,1,small onion sambar ones,subset,0.8,1,G018,"Onion, small",G018,Condiments and Spices,auto,,G018,1,N,
small potato,1,small potatoes,subset,0.8,1,F007,"Potato, brown skin, small",F007,Roots and Tubers,auto,,F007,1,N,
tighten it,1,tighten it,none,,0,,,,,no_candidate,no candidate at any rung,,,,parse error
tulsi,1,tulsi,none,,0,,,,,absent,no candidate at any rung,,,,basil is absent
turmeric,1,turmeric,subset,0.8,1,G033,Turmeric powder,G033,Condiments and Spices,auto,,G033,1,N,
white urad dal,1,white urad dal,partial,0.5,3,B006;B013;P057,"Cowpea, white;Lentil, dal;Pomfret, white",,,miss,3 ranked candidates,B003,,N,Urad dal = black gram dal
whole black pepper,1,whole black pepper,subset,0.8,1,G031,"Pepper, black",G031,Condiments and Spices,auto,,G031,1,N,
whole pepper,1,whole pepper,partial,0.5,20,A020;B002;B004;B011;B012;B014;B015;B022;G031;L001;L002;M001;M004;M008;M009;M011;M012;M013;M014;M015,"Wheat, whole;Bengal gram, whole;Black gram, whole;Green gram, whole;Horse gram, whole;Lentil, whole, brown;Lentil, whole, yellowish;Red gram, whole;Pepper, black;Milk, whole, Buffalo;Milk, whole, Cow;Egg, poultry, whole, raw;Egg, poultry, whole, boiled;Egg, country hen, whole, raw;Egg, country hen, whole, boiled;Egg, duck, whole, boiled;Egg, duck, whole, raw;Egg, duck, whole, omlet;Egg, quial, whole, raw;Egg, quial, whole, boiled",,,needs_partial,20 ranked candidates,G031,9,N,default to black pepper
