norm_key,n_lines,generic_name,status,link_rule,ifct_code,food_group,n_candidates,candidate_codes,candidate_names,successor_key,chosen_ifct_code,rank_found,hierarchical,reviewer_notes
caster sugar,1,Caster Sugar,review,partial,,,1,E065,"Water melon, dark green (sugar baby)",,,absent,,USDA
cauliflower gobi,1,Cauliflower (gobi),auto,subset,D036,Other Vegetables,1,D036,Cauliflower,,D036,1,N,
champagne,1,Champagne,none,none,,,0,,,,,absent,,USDA
chicken masala,1,Chicken masala,review,partial,,,7,J002;N001;N002;N003;N004;N005;N006,"Chicken mushroom, fresh;Chicken, poultry, leg, skinless;Chicken, poultry, thigh, skinless;Chicken, poultry, breast, skinless;Chicken, poultry, wing, skinless;Poultry, chicken, liver;Poultry, chicken, gizzard",,,absent,,USDA
chinese potato,1,Chinese Potato,review,partial,,,6,C013;F006;F007;F008;F013;F014,"Cabbage, Chinese;Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,,absent,,USDA
cooking soda,1,Cooking soda,none,none,,,0,,,,,absent,,baking soda? 
crab,1,Crabs,review,exact,,,2,Q001;S007,Crab;Crab,,Q005,miss,Y,mud crab is most common in kerala cuisine
cucumber,1,Cucumber,review,subset,,,3,D043;D044;D045,"Cucumber, green, elongate;Cucumber, green, short;Cucumber, orange, round",,C002,miss,Y,default to long cucumber
dried fig,1,Dried Figs,auto,subset,E020,Fruits,1,E020,Fig,,,absent,,dried fig != figs
egg white,1,Egg whites,review,subset,,,2,M002;M005,"Egg, poultry, white, raw;Egg, poultry, white, boiled",,M002,1,N,
egg yolk,1,Egg yolks,review,subset,,,2,M003;M006,"Egg, poultry, yolk, raw;Egg, poultry, yolk, boiled",,M003,1,N,
enos fruit salt,1,Enos fruit salt,review,partial,,,4,E007;E008;E032;E062,Avocado fruit;Bael fruit;Karonda fruit;Star fruit,,,absent,,USDA
extra virgin olive oil,1,Extra Virgin Olive Oil,review,partial,,,9,T001;T002;T004;T005;T006;T007;T009;T011;T012,Coconut oil;Corn oil;Gingelly oil;Groundnut oil;Mustard oil;Palm oil;Safflower oil;Soyabean oil;Sunflower oil,,,absent,,USDA
fennel,1,Fennel,none,none,,,0,,,,,absent,,
fish fillet,1,Fish fillet,review,partial,,,15,P004;P009;P016;P030;P037;P038;P051;P060;P061;P064;P077;P079;P092;S001;S004,"Ari fish;Cat fish;Guitar fish;Kite fish;Milk fish;Moon fish;Parrot fish;Queen fish;Raai fish;Ray fish, bow head, spotted;Silk fish;Sole fish;Eggs, cat fish;Cat fish;Gold fish",,,absent,,"Requires ""general dish"" variant or select most common"
glazed cherry,1,Glazed Cherries,review,partial,,,1,E014,"Cherries, red",,,absent,,glazed cherries have very different nutrition compared to regular cherries
gram flour besan,1,Gram flour (besan),none,none,,,0,,,,B001,miss,N,besan is a close match to bengal gram flour
green chawli bean yard long bean karamani barbati,1,Green Chawli Beans (Yard long beans/Karamani/Barbati),review,partial,,,18,B016;C015;D032;D033;D039;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"Moth bean;Cabbage, green;Broad beans;Capsicum, green;Cluster beans;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,,absent,,only dried form exists in IFCT
guava,1,Guava,review,subset,,,2,E028;E029,"Guava, white flesh;Guava, pink flesh",,E028,1,Y,default to white flesh
guava juice,1,Guava juice,review,partial,,,4,E028;E029;E033;I002,"Guava, white flesh;Guava, pink flesh;Lemon, juice;Sugarcane, juice",,,absent,,USDA
homemade tomato puree,1,Homemade tomato puree,review,partial,,,1,D074,"Tomato, green",,,absent,,puree offers different nutrition value
horse gram dal kollu/ kulith,1,Horse Gram Dal (Kollu/ Kulith),review,partial,,,5,B001;B003;B010;B012;B021,"Bengal gram, dal;Black gram, dal;Green gram, dal;Horse gram, whole;Red gram, dal",,B012,4,N,
hot water,1,Hot water,review,partial,,,5,E065;E066;F016;K002;S003,"Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,absent,,USDA
hung curd greek yogurt,1,Hung Curd (Greek Yogurt),none,none,,,0,,,,,absent,,
icing sugar,1,Icing Sugar,review,partial,,,1,E065,"Water melon, dark green (sugar baby)",,,absent,,USDA
jackfruit seed kathal,1,Jackfruit Seeds (Kathal),review,partial,,,8,G024;G025;G026;G032;H013;H017;H019;H020,Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds,,D052,miss,N,parse error
kala chana brown chickpea,1,Kala Chana (Brown Chickpeas),review,partial,,,3,B005;B019;Q003,"Cowpea, brown;Rajmah, brown;Lobster, brown",,B002,miss,N,"Chana, kala = bengal gram, wholee"
karela bitter gourd/ pavakkai,1,Karela (Bitter Gourd/ Pavakkai),none,none,,,0,,,,D005,miss,Y,default to long bitter gourd
mixed dry fruit apricot,1,Mixed dry fruits (Apricot),review,partial,,,8,A006;B017;E005;E006;E007;E008;E032;E062,"Maize, dry;Peas, dry;Apricot, dried;Apricot, processed;Avocado fruit;Bael fruit;Karonda fruit;Star fruit",,E005,3,N,
mixed nut almond,1,Mixed nuts (Almond),auto,subset,H001,Nuts and Oil Seeds,1,H001,Almond,,H001,1,N,
mixed vegetable green bean,1,Mixed vegetables (Green Beans),review,partial,,,18,B016;C015;D032;D033;D039;D063;D074;D077;E002;G001;G002;G003;G004;G005;G006;G007;G008;G020,"Moth bean;Cabbage, green;Broad beans;Capsicum, green;Cluster beans;Plantain, green;Tomato, green;Zucchini, green;Apple, green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green",,D050,miss,Y,"green bean = french bean, hybrid"
mixed vegetable potato,1,Mixed vegetables (Potatoes),none,none,,,0,,,,F007,miss,Y,default to small brown potatoes
mooli/ mullangi radish,1,Mooli/ Mullangi (Radish),review,partial,,,1,C031,Radish leaves,,F011,miss,Y,"default to round, red radish"
mustard oil,1,Mustard oil,auto,exact,T006,Edible Oils and Fats,1,T006,Mustard oil,,T006,1,N,
orange,1,Orange,review,subset,,,6,D045;D066;E045;E047;F002;Q008,"Cucumber, orange, round;Pumpkin, orange, round;Musk melon, orange flesh;Orange, pulp;Carrot, orange;Tiger Prawns, orange",,,absent,,USDA
palm sugar,1,Palm sugar,review,partial,,,3,E048;E065;T007,"Palm fruit, tender;Water melon, dark green (sugar baby);Palm oil",,,absent,,USDA
papad,1,Papad,none,none,,,0,,,,,absent,,"pappadam, find somewhere else"
papaya,1,Papaya,review,subset,,,2,D059;E049,"Papaya, raw;Papaya, ripe",,E049,2,N,
papaya juice,1,Papaya juice,review,partial,,,4,D059;E033;E049;I002,"Papaya, raw;Lemon, juice;Papaya, ripe;Sugarcane, juice",,,absent,,USDA
poppy seed,1,Poppy seeds,auto,exact,G032,Condiments and Spices,1,G032,Poppy seeds,,G032,1,N,
ragi flour finger millet/ nagli,1,Ragi Flour (Finger Millet/ Nagli),auto,subset,A010,Cereals and Millets,1,A010,Ragi,,A010,1,N,
rasam powder,1,Rasam Powder,review,partial,,,1,G033,Turmeric powder,,,absent,,USDA
raw peanut moongphali,1,Raw Peanuts (Moongphali),review,partial,,,1,D059,"Papaya, raw",,H012,miss,N,"Moog Phali is found in ""lang"" of ground nut "
red black eyed bean azuki,1,Red Black Eyed Beans (Azuki),review,partial,,,19,B007;B016;B018;B020;D032;D034;D039;E013;E014;E015;F003;G021;G022;G031;P006;P055;P065;R004;R006,"Field bean, black;Moth bean;Rajmah, black;Rajmah, red;Broad beans;Capsicum, red;Cluster beans;Black berry;Cherries, red;Currants, black;Carrot, red;Cardamom, black;Chillies, red;Pepper, black;Black snapper;Pomfret, black;Red snapper;Squid, black;Squid, red",,,absent,,azuki not found in ifct
red chilli flake,1,Red Chilli flakes,auto,subset,G022,Condiments and Spices,1,G022,"Chillies, red",,G022,1,N,"""flake"" may be different from regular red chili"
rice ada,1,Rice ada,review,partial,,,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,absent,,rice ada has no IFCT equiv
rice puttu,1,Rice puttu,review,partial,,,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,absent,,puttu has no IFCT equiv
saffron strand,1,Saffron strands,none,none,,,0,,,,,absent,,USDA
sambar powder,1,Sambar Powder,review,partial,,,1,G033,Turmeric powder,,,absent,,USDA
shallot pearl onion,1,Shallots (pearl onions),review,partial,,,3,D058;G017;G018,"Onion, stalk;Onion, big;Onion, small",,,absent,,could replace with small onion
shrimp,1,Shrimps,none,none,,,0,,,,Q008,miss,Y,giant tiger prawn likely found in Kerala 
squid,1,Squid,review,subset,,,4,R004;R005;R006;R007,"Squid, black;Squid, hard shell;Squid, red;Squid, white, small",,R004,1,Y,default to black squid
sweet potato,1,Sweet Potatoes,review,subset,,,2,F013;F014,"Sweet potato, brown skin;Sweet potato, pink skin",,F013,1,Y,default to brown potato
tulsi holy basil,1,Tulsi (holy basil),none,none,,,0,,,,,absent,,USDA
vanilla extract,1,Vanilla Extract,none,none,,,0,,,,,absent,,USDA
vivatta maida,1,Vivatta Maida,none,none,,,0,,,,A018,miss,N,Maida = wheat flour 
yam,1,Yam,review,subset,,,3,F017;F018;F019,"Yam, elephant;Yam, ordinary;Yam, wild",,F017,1,Y,default to elephant yam
black gram,1,black gram,review,subset,,,2,B003;B004,"Black gram, dal;Black gram, whole",,B004,2,Y,default to whole
brinjal,1,brinjals,auto,exact,D031,Other Vegetables,22,D010;D011;D012;D013;D014;D015;D016;D017;D018;D019;D020;D021;D022;D023;D024;D025;D026;D027;D028;D029;D030;D031,Brinjal 1;Brinjal 2;Brinjal 3;Brinjal 4;Brinjal 5;Brinjal 6;Brinjal 7;Brinjal 8;Brinjal 9;Brinjal 10;Brinjal 11;Brinjal 12;Brinjal 13;Brinjal 14;Brinjal 15;Brinjal 16;Brinjal 17;Brinjal 18;Brinjal 19;Brinjal 20;Brinjal 21;Brinjal - all varieties,,D031,22,Y,
cardamom powder,1,cardamom powder,review,partial,,,3,G020;G021;G033,"Cardamom, green;Cardamom, black;Turmeric powder",,G020,1,N,
coriander,1,coriander,review,subset,,,2,G009;G024,Coriander leaves;Coriander seeds,,G024,2,Y,default to seed
coriander leaves,1,coriander leaves,auto,exact,G009,Condiments and Spices,1,G009,Coriander leaves,,G009,1,N,
cumin powder,1,cumin powder,review,partial,,,2,G025;G033,Cumin seeds;Turmeric powder,,G025,1,N,
curd,1,curd,none,none,,,0,,,,,absent,,USDA
curry leaf,1,curry leaf,review,partial,,,15,C002;C003;C004;C005;C006;C010;C011;C019;C020;C022;C023;C030;C031;C034;G010,"Amaranth leaves, green;Amaranth leaves, red;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Betel leaves, big (kolkata);Betel leaves, small;Drumstick leaves;Fenugreek leaves;Gogu leaves, green stem;Gogu leaves, red stem;Pumpkin leaves, tender;Radish leaves;Tamarind leaves, tender;Curry leaves",,G010,miss,N,missed parser
dry red chili,1,dry red chili,review,partial,,,9,A006;B017;B020;D034;E014;F003;G022;P065;R006,"Maize, dry;Peas, dry;Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Red snapper;Squid, red",,G022,7,N,"requires ""dry"" variant"
egg,1,eggs,review,subset,,,16,M001;M002;M003;M004;M005;M006;M007;M008;M009;M010;M011;M012;M013;M014;M015;P092,"Egg, poultry, whole, raw;Egg, poultry, white, raw;Egg, poultry, yolk, raw;Egg, poultry, whole, boiled;Egg, poultry, white, boiled;Egg, poultry, yolk, boiled;Egg, poultry, omlet;Egg, country hen, whole, raw;Egg, country hen, whole, boiled;Egg, country hen, omlet;Egg, duck, whole, boiled;Egg, duck, whole, raw;Egg, duck, whole, omlet;Egg, quial, whole, raw;Egg, quial, whole, boiled;Eggs, cat fish",,M001,1,N,
fenugreek seed,1,fenugreek seeds,auto,exact,G026,Condiments and Spices,1,G026,Fenugreek seeds,,G026,1,N,
ginger powder,1,ginger powder,review,partial,,,3,G014;G015;G033,"Ginger, fresh;Mango ginger;Turmeric powder",,,absent,,"USDA, fresh ginger != ginger powder (Dry) "
green coriander,1,green coriander,review,partial,,,40,B010;B011;C002;C004;C005;C006;C015;C018;C022;D007;D008;D009;D033;D041;D043;D044;D057;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G009;G020;G024;R001,"Green gram, dal;Green gram, whole;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Capsicum, green;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Mango, green, raw;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Coriander leaves;Cardamom, green;Coriander seeds;Clam, green shell",,G009,miss,N,
green pea,1,green peas,review,partial,,,40,B010;B011;B017;C002;C004;C005;C006;C015;C018;C022;D007;D008;D009;D033;D041;D043;D044;D057;D061;D063;D065;D070;D071;D074;D077;E002;E023;E026;E065;E066;G001;G002;G003;G004;G005;G006;G007;G008;G020;R001,"Green gram, dal;Green gram, whole;Peas, dry;Amaranth leaves, green;Amaranth leaves, red and green;Amaranth, spinous, leaves, green;Amaranth, spinous, leaves, red and green;Cabbage, green;Colocasia leaves, green;Gogu leaves, green stem;Bottle gourd, elongate, pale green;Bottle gourd, round, pale green;Bottle gourd, elongate, dark green;Capsicum, green;Colocasia, stem, green;Cucumber, green, elongate;Cucumber, green, short;Mango, green, raw;Peas, fresh;Plantain, green;Pumpkin, green, cylindrical;Snake gourd, long, pale green;Snake gourd, long, dark green;Tomato, green;Zucchini, green;Apple, green;Grapes, seeded, round, green;Grapes, seedless, round, green;Water melon, dark green (sugar baby);Water melon, pale green;Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties;Cardamom, green;Clam, green shell",,B017,3,N,dry form default 
hot masala powder,1,hot Masala powder,review,partial,,,1,G033,Turmeric powder,,,absent,,USDA
luke warm water,1,luke warm water,review,partial,,,2,F016;K002,Water Chestnut;Coconut water,,,absent,,USDA
olive oil,1,olive oil,review,partial,,,12,T001;T002;T003;T004;T005;T006;T007;T008;T009;T010;T011;T012,Coconut oil;Corn oil;Cotton seed oil;Gingelly oil;Groundnut oil;Mustard oil;Palm oil;Rice bran oil;Safflower oil;Safflower oil (blended);Soyabean oil;Sunflower oil,,,absent,,USDA
pepper powder,1,pepper powder,review,partial,,,2,G031;G033,"Pepper, black;Turmeric powder",,G031,1,N,
red chili powder,1,red chili powder,review,partial,,,8,B020;D034;E014;F003;G022;G033;P065;R006,"Rajmah, red;Capsicum, red;Cherries, red;Carrot, red;Chillies, red;Turmeric powder;Red snapper;Squid, red",,G022,5,N,"G022 is the whole/raw chilli entry, not a powder-specific row"
red chilli flax,1,red chilli flax,auto,subset,G022,Condiments and Spices,1,G022,"Chillies, red",,G022,1,N,
small potato,1,small potatoes,auto,subset,F007,Roots and Tubers,1,F007,"Potato, brown skin, small",,F007,1,N,
tulsi,1,tulsi,none,none,,,0,,,,,absent,,basil is absent
turmeric,1,turmeric,auto,subset,G033,Condiments and Spices,1,G033,Turmeric powder,,G033,1,N,
white urad dal,1,white urad dal,review,partial,,,3,B006;B013;P057,"Cowpea, white;Lentil, dal;Pomfret, white",,B003,miss,N,Urad dal = black gram dal
whole black pepper,1,whole black pepper,auto,subset,G031,Condiments and Spices,1,G031,"Pepper, black",,G031,1,N,
whole pepper,1,whole pepper,review,partial,,,20,A020;B002;B004;B011;B012;B014;B015;B022;G031;L001;L002;M001;M004;M008;M009;M011;M012;M013;M014;M015,"Wheat, whole;Bengal gram, whole;Black gram, whole;Green gram, whole;Horse gram, whole;Lentil, whole, brown;Lentil, whole, yellowish;Red gram, whole;Pepper, black;Milk, whole, Buffalo;Milk, whole, Cow;Egg, poultry, whole, raw;Egg, poultry, whole, boiled;Egg, country hen, whole, raw;Egg, country hen, whole, boiled;Egg, duck, whole, boiled;Egg, duck, whole, raw;Egg, duck, whole, omlet;Egg, quial, whole, raw;Egg, quial, whole, boiled",,G031,9,Y,default to black pepper
